,sent_no,parag_no,sect_no,sent_raw,sent_clean,char_len,token_len
1913,1913,302,18,"But through the crepuscular walls of their intimacy, for they were drawing together, involuntarily, coming side by side, quite close, she could feel his mind like a raised hand shadowing her mind; and he was beginning, now that her thoughts took a turn he disliked - towards this ""pessimism"" as he called it - to fidget, though he said nothing, raising his hand to his forehead, twisting a lock of hair, letting it fall again.",but through the crepuscular walls of their intimacy  for they were drawing together  involuntarily  coming side by side  quite close  she could feel his mind like a raised hand shadowing her mind  and he was beginning  now that her thoughts took a turn he disliked   towards this  pessimism  as he called it   to fidget  though he said nothing  raising his hand to his forehead  twisting a lock of hair  letting it fall again ,426,75
1914,1914,303,18,"""You won't finish that stocking tonight,"" he said, pointing to her stocking.", you will not finish that stocking tonight   he said  pointing to her stocking ,76,12
1915,1915,303,18,That was what she wanted - the asperity in his voice reproving her.,that was what she wanted   the asperity in his voice reproving her ,67,13
1916,1916,303,18,"If he says it's wrong to be pessimistic probably it is wrong, she thought; the marriage will turn out all right.",if he says it is wrong to be pessimistic probably it is wrong  she thought  the marriage will turn out all right ,112,21
1917,1917,304,18,"""No,"" she said, flattening the stocking out upon her knee, ""I shan't finish it.""", no   she said  flattening the stocking out upon her knee   i shall not finish it  ,80,14
1918,1918,305,18,And what then?,and what then ,14,3
1919,1919,305,18,"For she felt that he was still looking at her, but that his look had changed.",for she felt that he was still looking at her  but that his look had changed ,77,16
1920,1920,305,18,He wanted something - wanted the thing she always found it so difficult to give him; wanted her to tell him that she loved him.,he wanted something   wanted the thing she always found it so difficult to give him  wanted her to tell him that she loved him ,127,25
1921,1921,305,18,"And that, no, she could not do.",and that  no  she could not do ,31,7
1922,1922,305,18,He found talking so much easier than she did.,he found talking so much easier than she did ,45,9
1923,1923,305,18,He could say things - she never could.,he could say things   she never could ,38,8
1924,1924,305,18,"So naturally it was always he that said the things, and then for some reason he would mind this suddenly, and would reproach her.",so naturally it was always he that said the things  and then for some reason he would mind this suddenly  and would reproach her ,129,24
1925,1925,305,18,A heartless woman he called her; she never told him that she loved him.,a heartless woman he called her  she never told him that she loved him ,71,14
1926,1926,305,18,But it was not so - it was not so.,but it was not so   it was not so ,34,10
1927,1927,305,18,It was only that she never could say what she felt.,it was only that she never could say what she felt ,51,11
1928,1928,305,18,Was there no crumb on his coat?,was there no crumb on his coat ,31,7
1929,1929,305,18,Nothing she could do for him?,nothing she could do for him ,29,6
1930,1930,305,18,"Getting up, she stood at the window with the reddish-brown stocking in her hands, partly to turn away from him, partly because she remembered how beautiful it often is - the sea at night.",getting up  she stood at the window with the reddish brown stocking in her hands  partly to turn away from him  partly because she remembered how beautiful it often is   the sea at night ,187,34
1931,1931,305,18,But she knew that he had turned his head as she turned; he was watching her.,but she knew that he had turned his head as she turned  he was watching her ,76,16
1932,1932,305,18,"She knew that he was thinking, You are more beautiful than ever.",she knew that he was thinking  you are more beautiful than ever ,64,12
1933,1933,305,18,And she felt herself very beautiful.,and she felt herself very beautiful ,36,6
1934,1934,305,18,Will you not tell me just for once that you love me?,will you not tell me just for once that you love me ,52,12
1935,1935,305,18,"He was thinking that, for he was roused, what with Minta and his book, and its being the end of the day and their having quarrelled about going to the Lighthouse.",he was thinking that  for he was roused  what with minta and his book  and its being the end of the day and their having quarrelled about going to the lighthouse ,162,31
1936,1936,305,18,But she could not do it; she could not say it.,but she could not do it  she could not say it ,46,11
1937,1937,305,18,"Then, knowing that he was watching her, instead of saying anything she turned, holding her stocking, and looked at him.",then  knowing that he was watching her  instead of saying anything she turned  holding her stocking  and looked at him ,119,20
